id,dept_name,parent,description
1,Shoes,2,"Step up your shoe game and put your best foot forward with Shamazon's wide selection of stylish and comfortable footwear. Whether you're looking for casual sneakers, trendy boots, or elegant dress shoes, our collection has got you covered from head to toe."
2,Clothing,,"Elevate your wardrobe with Shamazon's fashion-forward clothing collection. From chic dresses to trendy tops, cozy sweaters to comfortable activewear, we've got everything you need to express your unique style and look your best, no matter the occasion."
3,Garden,,"Transform your outdoor space into a beautiful oasis with Shamazon's garden department. From colorful flowers to lush greenery, stylish patio furniture to durable gardening tools, we have everything you need to create your very own garden paradise and enjoy the great outdoors in style."
4,Toys,,"Let your child's imagination run wild with Shamazon's incredible toy collection. From classic board games to the latest action figures, educational toys to fun outdoor games, we have a wide selection of toys that will keep your little ones entertained for hours on end."
5,Books,,"Discover a world of knowledge and adventure with Shamazon's extensive collection of books. From best-selling novels to award-winning memoirs, inspiring self-help books to entertaining cookbooks, we have something for every reader and every interest."
6,Baby,,"From adorable onesies to essential baby gear, Shamazon has everything you need to welcome your little bundle of joy. Our collection of baby products includes diapers, wipes, bottles, strollers, car seats, and much more, all at affordable prices."
7,Tools,,"Get the job done right with Shamazon's top-quality tools and hardware. Whether you're a professional contractor or a DIY enthusiast, we have a wide selection of power tools, hand tools, and accessories that will help you tackle any project with ease."
8,Electronics,,"Stay connected and entertained with Shamazon's cutting-edge electronics department. From the latest smartphones and laptops to high-quality headphones and speakers, we have everything you need to stay on top of your tech game."
9,Industrial,,"Find everything you need for your industrial and commercial needs at Shamazon. We offer a wide selection of industrial supplies, including safety equipment, material handling tools, and storage solutions, to keep your business running smoothly."
10,Sports,,"Get in the game with Shamazon's wide selection of sports equipment and gear. From team sports to individual activities, we have everything you need to stay active and have fun, whether you're a seasoned pro or a beginner."
11,Kids,,"Discover a world of fun and creativity with Shamazon's collection of kids' products. From colorful art supplies to educational toys and games, our selection of products is designed to encourage learning and creativity in children of all ages."
12,Grocery,,"Stock up on all your favorite groceries and household essentials with Shamazon's convenient online grocery store. We offer a wide selection of fresh produce, pantry staples, and cleaning supplies, all at competitive prices and delivered right to your door."
13,Jewelry,,"Add some sparkle to your life with Shamazon's stunning collection of jewelry. From elegant necklaces to fashionable earrings, stylish bracelets to classic watches, we have everything you need to complete any outfit and make a statement."
14,Outdoors,,"Explore the great outdoors with Shamazon's collection of outdoor gear and equipment. From camping and hiking gear to fishing and hunting supplies, we have everything you need to enjoy nature and make lasting memories."
15,Music,8,"Get your groove on with Shamazon's extensive collection of music. Whether you're into rock, pop, jazz, or classical, we have a wide selection of CDs, vinyl records, and digital downloads that will keep you entertained for hours on end."
16,Movies,8,"From the latest blockbusters to timeless classics, Shamazon has everything you need to satisfy your inner movie buff. Our collection of DVDs, Blu-rays, and digital downloads includes movies and TV shows from all genres, so you can always find something to watch."
17,Automotive,,"Keep your car running smoothly with Shamazon's extensive collection of automotive supplies. From oil filters to brake pads, car accessories to car care products, we have everything you need to keep your vehicle in top condition."
18,Beauty,30,"Look and feel your best with Shamazon's collection of beauty products. From skincare to makeup, hair care to fragrance, we offer a wide selection of products from top brands that will help you achieve the perfect look and feel great every day."
19,Health,30,"Take care of yourself and your loved ones with Shamazon's selection of health products. From vitamins and supplements to first aid kits and medical supplies, we offer everything you need to stay healthy and happy."
20,Kitchen,,"Upgrade your kitchen and cooking game with Shamazon's collection of high-quality cookware and kitchen appliances. From top-of-the-line blenders to non-stick frying pans, we have everything you need to create delicious meals and make cooking a breeze."
21,Home Decor,29,"Add some personality to your home with Shamazon's stylish collection of home decor. From elegant wall art to cozy throw pillows, unique table lamps to decorative vases, we have everything you need to create a warm and inviting space that reflects your personal style."
22,Gaming,8,"Take your gaming experience to the next level with Shamazon's collection of video games and gaming accessories. From consoles to controllers, headsets to gaming chairs, we have everything you need to play your favorite games like a pro."
23,Office,,"Make your workspace more efficient and productive with Shamazon's collection of office supplies and equipment. From paper and pens to printers and scanners, we have everything you need to stay organized and get things done."
24,Home Supplies,,"Keep your home clean and tidy with Shamazon's collection of cleaning supplies and home essentials. From laundry detergent to paper towels, trash bags to air fresheners, we offer a wide selection of products that will help you maintain a spotless home."
25,Pets,,"Take care of your furry friends with Shamazon's collection of pet supplies. From food and treats to toys and grooming products, we offer everything you need to keep your pets happy and healthy."
26,Arts and Crafts,,"Unleash your creativity with Shamazon's collection of arts and crafts supplies. From paints and brushes to yarn and fabric, we have everything you need to indulge in your favorite hobby and make beautiful art."
27,Appliances,,"Upgrade your home with Shamazon's collection of high-quality appliances. From refrigerators to ovens, dishwashers to washing machines, we offer a wide selection of appliances that will make your life easier and more convenient."
28,Furniture,29,"Furnish your home in style with Shamazon's collection of furniture. From sofas and chairs to beds and dressers, we offer a wide selection of furniture that will help you create a comfortable and stylish living space."
29,Home,,"Make your home your sanctuary with Shamazon's collection of home products. From bedding and towels to curtains and rugs, we offer everything you need to create a cozy and inviting home."
30,Personal Care,,"Take care of your personal hygiene and grooming needs with Shamazon's collection of personal care products. From razors and shaving cream to toothbrushes and deodorant, we offer a wide selection of products that will help you look and feel your best."
31,Pharmacy,19,"Stay healthy and take care of yourself with Shamazon's collection of pharmacy products. From prescription medication to over-the-counter remedies, we offer everything you need to stay on top of your health."